1414;1757;27.07;67.99;14:09:41
1509;1751;27.06;68.05;14:10:41
1563;1745;27.07;67.84;14:11:41
1472;1673;27.01;68.07;14:12:41
1462;1757;27.04;68.01;14:13:41
1560;1755;27.08;68.04;14:14:41
1535;1754;27.16;67.74;14:15:41
1627;1753;27.07;68.12;14:16:41
1674;1751;27.14;67.78;14:17:41
1792;1764;27.14;67.91;14:18:41
1744;1762;27.19;67.64;14:19:41
1839;1755;27.22;67.32;14:20:41
2253;1760;27.16;67.34;14:21:41
2272;1753;27.22;67.10;14:22:41
2251;1760;27.23;66.87;14:23:41
2287;1759;27.22;66.96;14:24:41
2283;1761;27.24;66.75;14:25:42
2123;1751;27.24;66.79;14:26:42
2304;1746;27.23;67.13;14:27:42
2238;1733;27.21;66.78;14:28:42
2276;1767;27.16;67.09;14:29:42
2178;1762;27.16;66.94;14:30:42
2290;1766;27.22;66.58;14:31:42
2129;1776;27.27;66.32;14:32:42
2237;1758;27.32;66.45;14:33:42
2176;1763;27.35;66.27;14:34:42
2131;1759;27.45;65.82;14:35:42
2279;1753;27.46;65.76;14:36:42
2285;1758;27.52;65.82;14:37:42
2192;1758;27.44;65.15;14:38:42
2389;1755;27.40;65.94;14:39:42
2366;1751;27.39;65.84;14:40:42
2342;1754;27.29;66.30;14:41:42
2352;1741;27.30;66.00;14:42:42
2287;1759;27.34;65.88;14:43:42
2361;1759;27.46;65.55;14:44:42
2308;1761;27.51;65.33;14:45:43
2195;1760;27.49;65.05;14:46:43
2277;1759;27.50;65.20;14:47:43
2317;1754;27.57;65.25;14:48:43
2318;1760;27.58;65.23;14:49:43
2165;1717;27.54;64.81;14:50:43
2275;1751;27.46;65.08;14:51:43
2179;1755;27.47;64.66;14:52:43
2222;1765;27.46;64.57;14:53:43
2252;1762;27.48;64.55;14:54:43
2273;1754;27.48;64.58;14:55:43
2209;1753;27.50;64.65;14:56:43
2125;1728;27.55;63.80;14:57:43
2031;1724;27.58;64.14;14:58:43
2096;1761;27.52;64.22;14:59:43
2103;1759;27.56;64.30;15:00:43
2064;1756;27.57;63.86;15:01:43
2113;1758;27.46;64.24;15:02:43
2255;1755;27.36;64.52;15:03:43
2209;1755;27.33;64.55;15:04:43
2161;1749;27.37;64.62;15:05:43
2112;1746;27.49;63.99;15:06:44
2117;1747;27.59;63.43;15:07:44
2183;1741;27.57;63.37;15:08:44
2136;1749;27.53;63.52;15:09:44
2102;1751;27.42;63.69;15:10:44
2045;1744;27.34;64.57;15:11:44
